timestamp,function,cgroup,mem_current,mem_high,mem_max,pgfault,pgmajfault
1774418091.2906978,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418091.7908206,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418091.7908206,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418091.7908206,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418092.291011,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418092.291011,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418092.291011,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418092.7911634,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418092.7911634,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418092.7911634,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418093.291546,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418093.291546,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418093.291546,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418093.7916508,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418093.7916508,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418093.7916508,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418094.2917593,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418094.2917593,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418094.2917593,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418094.7925634,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418094.7925634,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418094.7925634,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418095.292954,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418095.292954,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418095.292954,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418095.7926474,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418095.7926474,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418095.7926474,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418096.2937262,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418096.2937262,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418096.2937262,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418096.792958,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418096.792958,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418096.792958,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418097.2929838,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418097.2929838,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418097.2929838,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418097.7933588,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418097.7933588,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418097.7933588,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418098.2934618,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418098.2934618,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418098.2934618,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418098.7938464,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418098.7938464,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418098.7938464,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418099.294821,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418099.294821,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418099.294821,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418099.794865,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418099.794865,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418099.794865,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418100.2942183,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418100.2942183,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418100.2942183,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418100.7945,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418100.7945,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418100.7945,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418101.295103,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418101.295103,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418101.295103,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418101.7948697,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418101.7948697,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418101.7948697,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418102.2951708,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418102.2951708,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418102.2951708,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418102.7955987,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418102.7955987,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418102.7955987,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418103.295259,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418103.295259,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418103.295259,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418103.7954323,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418103.7954323,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418103.7954323,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418104.296317,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418104.296317,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418104.296317,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418104.79628,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418104.79628,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418104.79628,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418105.296437,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418105.296437,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418105.296437,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418105.7967317,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418105.7967317,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418105.7967317,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418106.2971199,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418106.2971199,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418106.2971199,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418106.7971861,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418106.7971861,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418106.7971861,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418107.2974532,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418107.2974532,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418107.2974532,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418107.797902,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418107.797902,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418107.797902,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418108.2980232,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418108.2980232,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418108.2980232,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418108.7993274,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418108.7993274,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418108.7993274,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418109.2992516,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418109.2992516,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418109.2992516,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418109.7990725,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418109.7990725,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418109.7990725,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418110.2995453,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418110.2995453,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418110.2995453,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418110.800352,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418110.800352,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
